County,dist_to_refinery
Alameda,384.8
Alpine,468
Amador,404.3
Butte,477.7
Calaveras,383.7
Colusa,461.1
Contra Costa,372.1
Del Norte,762.5
El Dorado,463
Fresno,261.8
Glenn,499.4
Humboldt,680.9
Imperial,212
Inyo,266.7
Kern,146.5
Kings,199.9
Lake,506.8
Lassen,586.1
Los Angeles,79.8
Madera,271.3
Marin,424.5
Mariposa,300
Mendocino,535.9
Merced,297.4
Modoc,656.2
Mono,284
Monterey,300.7
Napa,428.9
Nevada,452.1
Orange,37.9
Placer,459.5
Plumas,568.6
Riverside,63
Sacramento,395.2
San Benito,285.5
San Bernardino,134
San Diego,141.7
San Francisco,395.1
San Joaquin,348.6
San Luis Obispo,224.1
San Mateo,393.6
Santa Barbara,105.6
Santa Clara,351.7
Santa Cruz,362.5
Shasta,593.8
Sierra,518.4
Siskiyou,658.7
Solano,400.9
Sonoma,467.3
Stanislaus,320.4
Sutter,431.5
Tehama,522.5
Trinity,610.7
Tulare,187.1
Tuolumne,381
Ventura,86.7
Yolo,431.6
Yuba,452.1
