Date,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
01/01/12,47562789.53,35873.99103,1131507.52,6809904.952,1399762.518,656561.7226,32996380.07,864790.8575,5560068.642,29170631.21,868944.3642,4160244.591,5510503.462,570507.2175,26314003.15,4658419.259,1994575.441,1031392.625,306340746.8,4665095.636,7896646.9,561461.803,2698117.939,8071001.88,297175.7113,437656.5372,13002660.35,4257313.58,3017907.187,94527074.13,11065187.93,597674.2279,69055032.93,44382403.31,1738873.263,63727899.09,97278449.25,25514499.27,21509841.96,8366485.422,22675131.33,13178522.89,56454647.39,8224927.761,5478813.745,99468.79331,1379610.319,12814183.44,15039909.22,16065640.77,2921299.698,1941502.856,422734.6799,13880496.29,1691892.488,25688977.32,6306776.843,2246677.913
02/01/12,47139289.03,35554.56794,1121432.543,6749269.355,1387298.991,650715.6774,32702579.31,857090.7338,5510561.624,28910895.04,861207.2575,4123201.648,5461437.775,565427.4042,26079702.48,4616940.554,1976815.682,1022209.075,303613079.6,4623557.485,7826334.92,556462.5303,2674093.816,7999137.438,294529.6498,433759.6303,12886884.27,4219406.333,2991035.651,93685402.23,10966663.16,592352.5187,68440164.85,43987221.06,1723390.284,63160463.97,96412279.03,25287317.4,21318317.68,8291989.986,22473231.29,13061180.93,55951973.52,8151692.758,5430030.223,98583.12019,1367326.227,12700085.57,14905993.42,15922591.82,2895288.358,1924215.656,418970.6376,13756903.94,1676827.826,25460241.89,6250621.113,2226673.426
03/01/12,50529802.73,38111.84558,1202092.062,7234713.465,1487081.069,697518.6832,35054726.44,918737.3547,5906911.147,30990323.64,923149.9611,4419764.706,5854254.043,606096.0142,27955496.34,4949015.996,2118999.003,1095731.903,325450581.4,4956108.852,8389247.436,596486.3379,2866429.168,8574478.85,315713.822,464957.9789,13813778.98,4522888.954,3206167.181,100423765.2,11755445.14,634957.7292,73362753.23,47151020.92,1847345.873,67703307.6,103346773.8,27106118.62,22851646.88,8888394.943,24089628.14,14000612.01,59976343.36,8738006.777,5820587.49,105673.7537,1465671.756,13613544.7,15978113.43,17067831.11,3103533.223,2062615.698,449105.2815,14746375.19,1797434.391,27291480.78,6700199.734,2386827.873
04/01/12,48456128.43,36547.78733,1152759.841,6937810.676,1426053.287,668893.4662,33616128.2,881033.6246,5664499.557,29718522.96,885265.1437,4238383.581,5614003.428,581222.6591,26808240.83,4745915.118,2032038.169,1050764.558,312094532.7,4752716.893,8044964.144,572007.3508,2748794.818,8222593.913,302757.3566,445876.7365,13246880.3,4337275.75,3074590.445,96302510.62,11273017.68,608899.9285,70352045.73,45216007.22,1771533.314,64924856.04,99105562.92,25993720.42,21913846.41,8523627.317,23101022.61,13426045.95,57514995.9,8379410.877,5581718.505,101337.0467,1405522.583,13054863.37,15322393.41,16367390.56,2976168.445,1977968.758,430674.6123,14141204.03,1723670.131,26171475.57,6425232.66,2288875.707
05/01/12,52161547.81,39342.58097,1240910.892,7468342.086,1535102.971,720043.4631,36186739.12,948405.8885,6097661.411,31991085.68,952960.99,4562490.957,6043303.866,625668.5068,28858255.52,5108833.214,2187427.257,1131116.074,335960267.9,5116155.118,8660159.106,615748.5078,2958993.98,8851372.147,325909.082,479972.7396,14259863.56,4668945.368,3309703.06,103666722.4,12135060.52,655462.2452,75731836.53,48673655.93,1907001.708,69889631.97,106684122.9,27981449.08,23589588.86,9175425.447,24867547.91,14452729.94,61913142.99,9020180.837,6008550.128,109086.2472,1513002.293,14053163.17,16494090.27,17618997.91,3203754.771,2129223.181,463608.1154,15222575.84,1855478.448,28172797.09,6916567.449,2463905.052
06/01/12,50166962.56,37838.17523,1193460.181,7182763.041,1476402.762,692509.9995,34803008.4,912140.1624,5864495.294,30767790.92,916521.0832,4388027.63,5812216.306,601743.8107,27754755.85,4913478.516,2103783.072,1087863.764,323113613.1,4920520.441,8329006.631,592203.1388,2845846.154,8512907.951,313446.7706,461619.2476,13714586.15,4490411.372,3183144.604,99702650.65,11671032.63,630398.2779,72835956.12,46812442.82,1834080.607,67217149.36,102604669.9,26911477.27,22687555.69,8824569.902,23916647.36,13900077.59,59545670.26,8675261.63,5778791.503,104914.9404,1455147.183,13515789.7,15863379.13,16945271.86,3081247.631,2047804.64,445880.3839,14640485.65,1784527.525,27095508.4,6652087.501,2369688.739
07/01/12,50218476.35,37877.02925,1194685.682,7190138.64,1477918.802,693221.1014,34838745.76,913076.7909,5870517.234,30799384.74,917462.2102,4392533.463,5818184.563,602361.7096,27783255.74,4918523.907,2105943.336,1088980.833,323445401.4,4925573.063,8337559.247,592811.2408,2848768.402,8521649.405,313768.6325,462093.2599,13728668.94,4495022.337,3186413.207,99805030.02,11683016.99,631045.6005,72910747.51,46860512.04,1835963.927,67286171.09,102710029.2,26939111.24,22710852.34,8833631.385,23941206.1,13914350.84,59606814.56,8684169.797,5784725.438,105022.672,1456641.397,13529668.35,15879668.39,16962672.06,3084411.601,2049907.422,446338.2349,14655519.19,1786359.962,27123331.34,6658918.178,2372122.047
08/01/12,51299791.31,38692.60553,1220409.909,7344958.241,1509741.665,708147.6862,35588901.08,932737.3553,5996922.465,31462563.67,937217.2025,4487114.432,5943462.956,615331.8906,28381490.73,5024430.614,2151288.957,1112429.001,330409896.8,5031631.554,8517085.353,605575.779,2910108.692,8705139.38,320524.7657,472043.1507,14024277.57,4591810.118,3255023.736,101954053.2,11934578.21,644633.4092,74480677.29,47869522.59,1875496.295,68734991.29,104921603.5,27519169.94,23199867.26,9023839.023,24456713.26,14213957.61,60890281.22,8871159.196,5909283.382,107284.0426,1488006.11,13820992.06,16221592.81,17327915.94,3150825.811,2094046.466,455948.8851,14971084.96,1824824.246,27707356.7,6802299.426,2423199.086
09/01/12,48678316.57,36715.37161,1158045.645,6969622.943,1432592.235,671960.5747,33770269.8,885073.4692,5690473.251,29854792.69,889324.3913,4257818.039,5639745.58,583887.7665,26931165.91,4767676.784,2041355.768,1055582.678,313525594.3,4774509.748,8081853.094,574630.2028,2761398.995,8260297.357,304145.6041,447921.2359,13307621.84,4357163.663,3088688.508,96744091.02,11324708.38,611691.9458,70674634.25,45423338.29,1779656.409,65222559.01,99559996.28,26112910.64,22014328.99,8562711.104,23206948.8,13487609.03,57778722.09,8417833.381,5607312.619,101801.7122,1411967.391,13114724.44,15392651.9,16442440.72,2989815.209,1987038.43,432649.4047,14206046.35,1731573.756,26291480.85,6454694.579,2299370.996
10/01/12,49790504.33,37554.23354,1184504.328,7128862.823,1465323.678,687313.3308,34541842.92,905295.3656,5820487.498,30536906.15,909643.4115,4355099.404,5768600.817,597228.2612,27546481.21,4876607.251,2087996.06,1079700.318,320688934.2,4883596.332,8266504.879,587759.1834,2824490.621,8449026.183,311094.6327,458155.2076,13611670.44,4456714.847,3159257.948,98954471.35,11583451.96,625667.7022,72289387.36,46461157.27,1820317.471,66712744.72,101834713.6,26709530.68,22517305.86,8758349.39,23737174.29,13795769.92,59098833.22,8610161.544,5735426.837,104127.6475,1444227.604,13414365.78,15744338.65,16818112.74,3058125.621,2032437.696,442534.4501,14530621.89,1771136.241,26892180.82,6602169.529,2351906.343
