"","county","time","lprice","lsales","aftexpl.dist_to_ref134","aftexpl.dist_to_ref141.7","aftexpl.dist_to_ref146.5","aftexpl.dist_to_ref187.1","aftexpl.dist_to_ref199.9","aftexpl.dist_to_ref212","aftexpl.dist_to_ref224.1","aftexpl.dist_to_ref261.8","aftexpl.dist_to_ref266.7","aftexpl.dist_to_ref271.3","aftexpl.dist_to_ref284","aftexpl.dist_to_ref285.5","aftexpl.dist_to_ref297.4","aftexpl.dist_to_ref300","aftexpl.dist_to_ref300.7","aftexpl.dist_to_ref320.4","aftexpl.dist_to_ref348.6","aftexpl.dist_to_ref351.7","aftexpl.dist_to_ref362.5","aftexpl.dist_to_ref37.9","aftexpl.dist_to_ref372.1","aftexpl.dist_to_ref381","aftexpl.dist_to_ref383.7","aftexpl.dist_to_ref384.8","aftexpl.dist_to_ref393.6","aftexpl.dist_to_ref395.1","aftexpl.dist_to_ref395.2","aftexpl.dist_to_ref400.9","aftexpl.dist_to_ref404.3","aftexpl.dist_to_ref424.5","aftexpl.dist_to_ref428.9","aftexpl.dist_to_ref431.5","aftexpl.dist_to_ref431.6","aftexpl.dist_to_ref452.1","aftexpl.dist_to_ref459.5","aftexpl.dist_to_ref461.1","aftexpl.dist_to_ref463","aftexpl.dist_to_ref467.3","aftexpl.dist_to_ref477.7","aftexpl.dist_to_ref499.4","aftexpl.dist_to_ref506.8","aftexpl.dist_to_ref518.4","aftexpl.dist_to_ref522.5","aftexpl.dist_to_ref535.9","aftexpl.dist_to_ref568.6","aftexpl.dist_to_ref586.1","aftexpl.dist_to_ref593.8","aftexpl.dist_to_ref610.7","aftexpl.dist_to_ref63","aftexpl.dist_to_ref656.2","aftexpl.dist_to_ref658.7","aftexpl.dist_to_ref680.9","aftexpl.dist_to_ref762.5","aftexpl.dist_to_ref79.8","aftexpl.dist_to_ref86.7","timefe_t10","timefe_t11","timefe_t12","timefe_t13","timefe_t14","timefe_t15","timefe_t16","timefe_t17","timefe_t18","timefe_t19","timefe_t2","timefe_t20","timefe_t21","timefe_t22","timefe_t23","timefe_t24","timefe_t25","timefe_t26","timefe_t27","timefe_t28","timefe_t29","timefe_t3","timefe_t30","timefe_t31","timefe_t32","timefe_t33","timefe_t34","timefe_t35","timefe_t36","timefe_t37","timefe_t38","timefe_t39","timefe_t4","timefe_t40","timefe_t41","timefe_t42","timefe_t43","timefe_t44","timefe_t45","timefe_t46","timefe_t47","timefe_t48","timefe_t49","timefe_t5","timefe_t50","timefe_t51","timefe_t52","timefe_t53","timefe_t54","timefe_t55","timefe_t56","timefe_t57","timefe_t58","timefe_t59","timefe_t6","timefe_t60","timefe_t61","timefe_t62","timefe_t63","timefe_t64","timefe_t65","timefe_t66","timefe_t67","timefe_t68","timefe_t69","timefe_t7","timefe_t70","timefe_t71","timefe_t72","timefe_t73","timefe_t74","timefe_t75","timefe_t76","timefe_t77","timefe_t78","timefe_t79","timefe_t8","timefe_t80","timefe_t81","timefe_t82","timefe_t83","timefe_t84","timefe_t9"
"1","Alameda",1,0.00232142101704569,2.14313529661848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Amador",1,-0.0161054479322345,-1.59536459422922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Butte",1,-0.0719318518311245,0.199462736598479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Calaveras",1,-0.0120521089925545,-1.38261283411122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Colusa",1,-0.0161054479322345,-2.13965399833282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Contra.Costa",1,-0.00971292663885448,1.77748243425738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Del.Norte",1,0.0416228477939056,-1.86418301086522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","El.Dorado",1,-0.00167395796642444,-0.00330497247392181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Fresno",1,-0.0253399169661443,1.65424699631458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Glenn",1,-0.0307482589763144,-1.85939160489472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
