Date,San Francisco,Los Angeles,Del Norte,Siskiyou,Modoc,Humboldt,Trinity,Shasta,Lassen,Tehama,Plumas,Butte,Glenn,Lake,Mendocino,Colusa,Sutter,Yuba,Sierra,Nevada,Placer,El Dorado,Sacramento,Yolo,Napa,Sonoma,Marin,Solano,Amador,Contra Costa,San Joaquin,Calaveras,Tuolumne,Alameda,San Mateo,Stanislaus,Mono,Mariposa,Santa Clara,Santa Cruz,Merced,Madera,Monterey,San Benito,Fresno,Inyo,Tulare,Kings,San Luis Obispo,Kern,San Bernardino,San Barbara,Ventura,Orange,Riverside,San Diego,Imperial
06/05/00,1.805,1.591,1.630141823,1.574882779,1.553831714,1.66961257,1.731778995,1.500217283,1.597249535,1.479495142,1.577843085,1.455154848,1.516334505,1.532451726,1.557778789,1.538701261,1.451207773,1.445945007,1.60810399,1.611722142,1.5636994,1.561068017,1.508111433,1.513045276,1.630799669,1.599551995,1.591986769,1.531136035,1.538701261,1.548568948,1.498901592,1.544950796,1.457457308,1.567317552,1.601525532,1.47357453,1.900516436,1.566659706,1.559752326,1.547582179,1.494296671,1.518965888,1.579487699,1.54199049,1.524557577,1.672572876,1.528504652,1.556134174,1.65481104,1.561725863,1.566659706,1.563370478,1.592973537,1.581790159,1.559752326,1.591986769,1.543964027
06/12/00,1.812,1.587,1.626043415,1.5709233,1.54992516,1.665414927,1.727425057,1.496445524,1.593233823,1.475775481,1.573876163,1.451496382,1.512522225,1.528598925,1.553862311,1.534832748,1.447559231,1.442309696,1.604060988,1.607670043,1.559768038,1.557143271,1.504319826,1.509241265,1.626699607,1.595530494,1.587984288,1.527286541,1.534832748,1.544675625,1.49513314,1.54106657,1.453793054,1.563377093,1.59749907,1.469869754,1.895738268,1.562720901,1.555830887,1.543691338,1.490539797,1.515146992,1.575516643,1.538113707,1.520724623,1.66836779,1.524661774,1.552221832,1.65065061,1.557799462,1.562720901,1.559439942,1.588968576,1.577813314,1.555830887,1.587984288,1.540082282
06/19/00,1.816,1.583,1.621945007,1.566963821,1.546018607,1.661217283,1.723071118,1.492673765,1.58921811,1.47205582,1.569909241,1.447837916,1.508709944,1.524746124,1.549945834,1.530964234,1.443910688,1.438674385,1.600017986,1.603617945,1.555836676,1.553218524,1.50052822,1.505437254,1.622599545,1.591508993,1.583981807,1.523437048,1.530964234,1.540782303,1.491364689,1.537182344,1.450128799,1.559436634,1.593472607,1.466164978,1.890960099,1.558782096,1.551909448,1.539800496,1.486782923,1.511328096,1.571545586,1.534236924,1.516891668,1.664162704,1.520818896,1.548309489,1.64649018,1.553873062,1.558782096,1.555509407,1.584963614,1.573836469,1.551909448,1.583981807,1.536200538
06/26/00,1.831,1.607,1.646535456,1.590720695,1.569457928,1.686403142,1.749194749,1.515304321,1.613312384,1.494373785,1.593710771,1.469788712,1.531583626,1.547862932,1.573444697,1.554175315,1.465801943,1.460486252,1.624275998,1.627930535,1.57942485,1.576767004,1.523277858,1.528261319,1.647199917,1.615637999,1.607996692,1.546534009,1.554175315,1.564142237,1.513975398,1.560487699,1.472114327,1.583079388,1.617631383,1.488393632,1.919629109,1.582414927,1.575438081,1.563145545,1.509324168,1.534241472,1.595371925,1.557497622,1.539889394,1.689393219,1.543876163,1.571783544,1.67145276,1.577431466,1.582414927,1.579092619,1.608993384,1.59769754,1.575438081,1.607996692,1.559491007
07/03/00,1.883,1.648,1.688544139,1.631305355,1.609500103,1.729428985,1.793822617,1.553964854,1.654473434,1.53250031,1.634371718,1.507287988,1.5706595,1.587354145,1.613588588,1.593827579,1.503199504,1.497748191,1.665716767,1.669464544,1.619721315,1.616995658,1.562141823,1.567252429,1.689225553,1.656858383,1.649022121,1.585991317,1.593827579,1.604048791,1.552602026,1.600301013,1.509672938,1.623469092,1.658902626,1.526367583,1.968605334,1.622787678,1.61563283,1.603026669,1.547832127,1.573385156,1.636075253,1.59723465,1.579177176,1.732495348,1.583265661,1.611885053,1.714097168,1.617677073,1.622787678,1.619380608,1.650044242,1.638460203,1.61563283,1.649022121,1.599278892
07/10/00,1.906,1.667,1.708011577,1.65011288,1.628056233,1.74936779,1.814503825,1.571880711,1.673548067,1.5501687,1.653214596,1.524665702,1.588767831,1.605654951,1.632191854,1.612203018,1.520530081,1.515015919,1.684921025,1.688712012,1.638395286,1.635638205,1.580151954,1.58532148,1.708700848,1.675960513,1.668033905,1.604276411,1.612203018,1.622542072,1.570502171,1.618751085,1.527078148,1.642186272,1.678028323,1.543965268,1.991301633,1.641497002,1.634259665,1.621508166,1.565677279,1.591524912,1.654937771,1.615649369,1.597383709,1.752469506,1.60151933,1.630468679,1.73385921,1.636327476,1.641497002,1.638050651,1.669067811,1.657350217,1.634259665,1.668033905,1.61771718
07/17/00,1.91,1.654,1.694691751,1.637244573,1.615359934,1.73572545,1.800353525,1.559622493,1.660497002,1.538079802,1.6403221,1.512775687,1.57637792,1.593133347,1.619463304,1.599630349,1.508672318,1.503201158,1.671781269,1.675542692,1.625618358,1.622882779,1.567829233,1.572958445,1.695375646,1.662890635,1.655025842,1.591765557,1.599630349,1.609888774,1.558254703,1.606127352,1.51516932,1.629379781,1.66494232,1.531924747,1.975772586,1.628695886,1.621514989,1.608862932,1.553467438,1.5791135,1.642031838,1.603049824,1.584926607,1.738802977,1.589029977,1.617753566,1.720337813,1.623566674,1.628695886,1.625276411,1.656051685,1.64442547,1.621514989,1.655025842,1.605101509
07/24/00,1.911,1.64,1.680347323,1.623386397,1.601686996,1.721033699,1.785114741,1.546421336,1.64644201,1.525060988,1.626437875,1.499971056,1.563034939,1.579648542,1.605755634,1.586090552,1.495902419,1.490477569,1.657630763,1.661360347,1.61185859,1.609146165,1.554558611,1.559644408,1.681025429,1.648815381,1.641017159,1.57829233,1.586090552,1.596262146,1.545065123,1.592532562,1.502344428,1.615588174,1.6508497,1.518958032,1.959048997,1.614910068,1.607789952,1.595244987,1.540318379,1.565747364,1.62813314,1.589481083,1.571511267,1.724085177,1.575579905,1.604060368,1.705776308,1.609824271,1.614910068,1.611519537,1.642034319,1.630506512,1.607789952,1.641017159,1.591515402
07/31/00,1.897,1.615,1.654732272,1.598639653,1.577271036,1.694798429,1.757902626,1.52284784,1.621343808,1.501813107,1.601644614,1.477105644,1.539208187,1.555568534,1.581277651,1.561912342,1.473099028,1.467756874,1.632362001,1.636034732,1.587287575,1.584616498,1.530861071,1.535869341,1.655400041,1.623681001,1.616001654,1.554232996,1.561912342,1.571928882,1.521512301,1.568256151,1.479442836,1.590960306,1.625684308,1.495803184,1.929185446,1.590292537,1.583280959,1.570927228,1.516837916,1.541879264,1.603314038,1.565251189,1.547555303,1.697803391,1.551561919,1.579608228,1.67977362,1.585284267,1.590292537,1.58695369,1.617003308,1.60565123,1.583280959,1.616001654,1.567254497
08/07/00,1.888,1.589,1.628092619,1.572903039,1.551878437,1.667513748,1.729602026,1.498331404,1.595241679,1.477635311,1.575859624,1.453325615,1.514428365,1.530525326,1.55582055,1.536767004,1.449383502,1.444127352,1.606082489,1.609696093,1.561733719,1.559105644,1.50621563,1.511143271,1.628749638,1.597541245,1.589985528,1.529211288,1.536767004,1.546622287,1.497017366,1.543008683,1.455625181,1.565347323,1.599512301,1.471722142,1.898127352,1.564690304,1.557791606,1.545636758,1.492418234,1.51705644,1.577502171,1.540052098,1.5226411,1.670470333,1.526583213,1.554178003,1.652730825,1.559762663,1.564690304,1.56140521,1.590971056,1.579801737,1.557791606,1.589985528,1.542023155
