Date,Los Angeles,San Francisco,Del Norte,Siskiyou,Modoc,Humboldt,Trinity,Shasta,Lassen,Tehama,Plumas,Butte,Glenn,Lake,Mendocino,Colusa,Sutter,Yuba,Sierra,Nevada,Placer,El Dorado,Sacramento,Yolo,Napa,Sonoma,Marin,Solano,Amador,Contra Costa,San Joaquin,Calaveras,Tuolumne,Alameda,San Mateo,Stanislaus,Mono,Mariposa,Santa Clara,Santa Cruz,Merced,Madera,Monterey,San Benito,Fresno,Inyo,Tulare,Kings,San Luis Obispo,Kern,San Bernardino,San Barbara,Ventura,Orange,Riverside,San Diego,Imperial
06/05/00,1.591,1.805,1.834238261,1.772060693,1.748374,1.87865081,1.948600574,1.688046955,1.797227804,1.664730367,1.775391634,1.637342629,1.706182079,1.724317203,1.752815255,1.73134919,1.632901374,1.626979701,1.809441255,1.813512405,1.759477138,1.756516301,1.696929465,1.702481033,1.83497847,1.799818536,1.791306131,1.722836785,1.73134919,1.742452327,1.686566537,1.738381177,1.639933361,1.763548288,1.802039163,1.658068485,2.13846422,1.762808079,1.755035883,1.741342014,1.681385073,1.709142916,1.777242157,1.735050236,1.715434693,1.881981751,1.719875948,1.750964732,1.861996104,1.75725651,1.762808079,1.759107033,1.792416445,1.779832889,1.755035883,1.791306131,1.737270863
06/12/00,1.587,1.812,1.841351651,1.778932951,1.755154398,1.885936436,1.956157474,1.694593398,1.804197662,1.671186385,1.78227681,1.643692434,1.712798852,1.731004306,1.759612877,1.738063564,1.639233955,1.633289317,1.816458479,1.820545417,1.766300595,1.763328276,1.703510355,1.709083453,1.84209473,1.806798442,1.798253024,1.729518146,1.738063564,1.74920976,1.693107238,1.745122821,1.646293213,1.770387533,1.809027681,1.664498667,2.146757433,1.769644454,1.761842116,1.74809514,1.68790568,1.715771171,1.784134509,1.741778962,1.722087349,1.889280295,1.726545827,1.757755177,1.869217142,1.764071355,1.769644454,1.765929055,1.799367644,1.786735288,1.761842116,1.798253024,1.744008202
06/19/00,1.583,1.816,1.845416445,1.782859955,1.759028911,1.890099651,1.960475702,1.698334222,1.808180439,1.674875538,1.786211195,1.647320894,1.716579865,1.734825507,1.763497232,1.741900349,1.642852573,1.636894812,1.820468321,1.824564281,1.770199713,1.767220832,1.707270863,1.712856264,1.846161165,1.810786959,1.802222678,1.733336067,1.741900349,1.75307115,1.696844782,1.74897519,1.649927414,1.774295674,1.81302112,1.668173057,2.151496412,1.773550953,1.765731392,1.75195407,1.691631741,1.719558745,1.788072996,1.745623949,1.725888866,1.893450892,1.730357187,1.761635432,1.873343449,1.767965553,1.773550953,1.769827353,1.803339758,1.790679516,1.765731392,1.802222678,1.747858109
06/26/00,1.607,1.831,1.860659422,1.797586221,1.773558335,1.905711708,1.976669059,1.712362313,1.82311585,1.688709863,1.800965143,1.660927619,1.730758663,1.749155013,1.778063564,1.756288292,1.656422391,1.650415419,1.835505229,1.839635022,1.784821407,1.781817921,1.72137277,1.727004306,1.861410293,1.8257439,1.817108878,1.74765327,1.756288292,1.767551364,1.71086057,1.763421571,1.663555669,1.7889512,1.827996514,1.68195202,2.169267583,1.788200328,1.780316178,1.766425056,1.70560447,1.733762149,1.802842321,1.760042649,1.740144556,1.909090629,1.744649785,1.776186385,1.888817101,1.782568792,1.788200328,1.784445971,1.818235186,1.805470371,1.780316178,1.817108878,1.762295263
07/03/00,1.648,1.883,1.913501743,1.848637277,1.823927004,1.959833504,2.032806028,1.760993029,1.874891942,1.736668854,1.852112159,1.708097601,1.779911831,1.798830634,1.82856018,1.806166496,1.703464425,1.697286857,1.887633176,1.891880254,1.835509945,1.832421161,1.770259381,1.776050851,1.914273939,1.877594628,1.868714374,1.797286242,1.806166496,1.817749436,1.759448636,1.813502358,1.710800287,1.839757023,1.879911216,1.72971909,2.230874308,1.838984827,1.830876769,1.816591142,1.754043264,1.783000615,1.854042649,1.810027476,1.789564281,1.963308386,1.794197457,1.82662969,1.942459094,1.833193357,1.838984827,1.835123847,1.869872668,1.856745335,1.830876769,1.868714374,1.812344064
07/10/00,1.667,1.906,1.936874308,1.871217552,1.846205454,1.983771991,2.057635842,1.782502768,1.897792905,1.757881485,1.874734878,1.728961247,1.801652655,1.820802543,1.850895222,1.828228009,1.724271478,1.718018454,1.910689768,1.914988723,1.857929875,1.854803363,1.791882305,1.797744515,1.937655936,1.900528604,1.891539881,1.819239286,1.828228009,1.83995243,1.780939512,1.835653475,1.731696945,1.862228829,1.902873488,1.750846832,2.258123437,1.861447201,1.853240107,1.838779988,1.775468116,1.804779168,1.876688948,1.832136149,1.811423006,1.987289317,1.816112774,1.848941152,1.96618536,1.855584991,1.861447201,1.857539061,1.892712323,1.879424646,1.853240107,1.891539881,1.834481033
07/17/00,1.654,1.91,1.940939102,1.875144556,1.850079967,1.987935206,2.06195407,1.786243592,1.901775682,1.761570638,1.878669264,1.732589707,1.805433668,1.824623744,1.854779578,1.832064794,1.727890096,1.721623949,1.91469961,1.919007587,1.861828993,1.85869592,1.795642813,1.801517326,1.94172237,1.904517121,1.895509535,1.823057207,1.832064794,1.84381382,1.784677056,1.839505844,1.735331146,1.866136969,1.906866926,1.754521222,2.262862415,1.865353701,1.857129383,1.842638917,1.779194177,1.808566742,1.880627435,1.835981136,1.815224523,1.991459914,1.819924134,1.852821407,1.970311667,1.859479188,1.865353701,1.861437359,1.896684437,1.883368874,1.857129383,1.895509535,1.838330941
07/24/00,1.64,1.911,1.9419553,1.876126307,1.851048595,1.98897601,2.063033627,1.787178798,1.902771376,1.762492926,1.87965286,1.733496822,1.806378921,1.825579044,1.855750666,1.83302399,1.728794751,1.722525323,1.915702071,1.920012303,1.862803773,1.859669059,1.79658294,1.802460529,1.942738979,1.905514251,1.896501948,1.824011688,1.83302399,1.844779168,1.785611441,1.840468936,1.736239697,1.867114005,1.907865286,1.75543982,2.26404716,1.866330326,1.858101702,1.84360365,1.780125692,1.809513635,1.881612057,1.836942383,1.816174903,1.992502563,1.820876974,1.85379147,1.971343244,1.860452737,1.866330326,1.862411934,1.897677466,1.884354931,1.858101702,1.896501948,1.839293418
07/31/00,1.615,1.897,1.927728522,1.862381792,1.8374878,1.974404757,2.047919828,1.774085913,1.888831659,1.74958089,1.86588251,1.720797211,1.793145376,1.812204839,1.842155423,1.819595243,1.716129588,1.70990609,1.901667624,1.905946278,1.849156859,1.84604511,1.783421161,1.78925569,1.928506459,1.891554439,1.882608161,1.810648965,1.819595243,1.831264302,1.772530039,1.826985647,1.723519992,1.853435514,1.893888251,1.742579455,2.247460734,1.852657576,1.844489235,1.830097396,1.767084478,1.796257125,1.867827353,1.823484929,1.802869592,1.977905475,1.807537216,1.84021058,1.956901169,1.846823047,1.852657576,1.84876789,1.883775067,1.870550133,1.844489235,1.882608161,1.825818741
08/07/00,1.589,1.888,1.918582735,1.853546032,1.828770146,1.965037523,2.038203814,1.765669059,1.879870412,1.741280295,1.857030141,1.712633176,1.784638097,1.803607136,1.833415624,1.810962477,1.707987697,1.701793726,1.892645479,1.896903834,1.840383843,1.837286857,1.774960016,1.780766865,1.919356982,1.882580275,1.87367644,1.802058643,1.810962477,1.822576174,1.764120566,1.818317818,1.715343039,1.844642198,1.884903014,1.734312077,2.236798032,1.843867952,1.835738364,1.821414804,1.758700841,1.787735083,1.858965758,1.814833709,1.794316178,1.968521632,1.798961657,1.831480008,1.947616978,1.838061103,1.843867952,1.839996719,1.87483781,1.86167562,1.835738364,1.87367644,1.817156449
08/14/00,1.584,1.884,1.914517941,1.849619028,1.824895633,1.960874308,2.033885585,1.761928235,1.875887636,1.737591142,1.853095756,1.709004716,1.780857084,1.799785934,1.829531269,1.807125692,1.704369079,1.69818823,1.888635637,1.89288497,1.836484724,1.8333943,1.771199508,1.776994054,1.915290547,1.878591757,1.869706787,1.798240722,1.807125692,1.818714784,1.760383022,1.81446545,1.711708837,1.840734058,1.880909576,1.730637687,2.232059053,1.839961452,1.831849088,1.817555875,1.75497478,1.783947509,1.855027271,1.810988723,1.790514661,1.964351035,1.795150297,1.827599754,1.94349067,1.834166906,1.839961452,1.836098421,1.870865696,1.857731392,1.831849088,1.869706787,1.813306541
