,abdt,tg,inuidur1,female,black,hispanic,othrace,dep,q1,q2,q3,q4,q5,q6,agelt35,agegt54,durable,nondurable,lusd,husd,muld
0,10824,0,18,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0
1,10635,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2,10551,5,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,10824,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,10747,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5,10544,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,10845,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
7,10670,3,3,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
8,10768,3,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,10754,2,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,10712,3,6,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1
11,10607,4,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
12,10831,0,27,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
13,10845,0,27,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
14,10831,0,9,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
15,10551,3,27,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
16,10859,0,27,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
17,10740,1,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
18,10537,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
19,10663,6,26,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20,10656,5,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
21,10628,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,10516,0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
23,10803,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24,10663,0,28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
25,10747,0,12,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1
26,10551,4,22,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1
27,10635,2,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,10761,2,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
29,10586,1,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
30,10859,1,27,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
31,10768,0,18,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
32,10537,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
33,10768,5,27,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
34,10845,3,25,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
35,10789,2,34,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0
36,10705,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
37,10775,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,10600,4,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,10572,1,9,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
